# Avastel aggressive blocklist
# Last update: Mon Feb 05 2024 00:00:16 GMT+0000 (Coordinated Universal Time)
# Number IPs blocked: 4864

64.62.197.0/24;HURRICANE
89.185.76.0/24;M247 Ltd
92.240.204.0/24;M247 Ltd
92.240.206.0/24;M247 Ltd
92.240.207.0/24;M247 Ltd
109.70.66.0/24;M247 Ltd
109.70.67.0/24;M247 Ltd
158.46.181.0/24;A.b Internet Solutions
178.171.38.0/24;M247 Ltd
178.171.44.0/24;M247 Ltd
178.171.45.0/24;M247 Ltd
178.171.46.0/24;M247 Ltd
178.171.47.0/24;M247 Ltd
178.171.64.0/24;M247 Ltd
178.171.65.0/24;M247 Ltd
185.220.101.0/24;Cia Triad Security LLC
193.31.75.0/24;M247 Ltd
198.235.24.0/24;
205.210.31.0/24;
