# Avastel moderate blocklist
# Last update: Sat Nov 04 2023 00:00:21 GMT+0000 (Coordinated Universal Time)
# Number IPs blocked: 4352

64.62.197.0/24;HURRICANE
89.185.76.0/24;M247 Ltd
92.240.204.0/24;M247 Ltd
92.240.206.0/24;M247 Ltd
92.240.207.0/24;M247 Ltd
158.46.181.0/24;A.b Internet Solutions
172.71.242.0/24;
178.171.38.0/24;M247 Ltd
178.171.44.0/24;M247 Ltd
178.171.45.0/24;M247 Ltd
178.171.46.0/24;M247 Ltd
178.171.47.0/24;M247 Ltd
178.171.64.0/24;M247 Ltd
178.171.65.0/24;M247 Ltd
193.31.75.0/24;M247 Ltd
198.235.24.0/24;
205.210.31.0/24;
