# Avastel safe blocklist
# Last update: Sat Dec 25 2021 00:01:05 GMT+0000 (Coordinated Universal Time)
# Number IPs blocked: 12544

31.128.47.0/24;New information technologies Ltd
77.47.245.0/24;Association of users of Ukrainian Research & Academic Network URAN
89.185.76.0/24;M247 Ltd
89.185.77.0/24;M247 Ltd
89.185.78.0/24;M247 Ltd
91.232.55.0/24;Lucky Efect 777 SRL
92.240.200.0/24;M247 Ltd
92.240.204.0/24;M247 Ltd
92.240.206.0/24;M247 Ltd
92.240.207.0/24;M247 Ltd
158.46.184.0/24;M247 Ltd
158.46.185.0/24;M247 Ltd
158.46.186.0/24;M247 Ltd
158.46.187.0/24;M247 Ltd
177.136.248.0/24;BRX TELECOMUNICACOES LTDA - EPP
177.136.251.0/24;BRX TELECOMUNICACOES LTDA - EPP
177.136.252.0/24;BRX TELECOMUNICACOES LTDA - EPP
177.136.253.0/24;BRX TELECOMUNICACOES LTDA - EPP
177.136.254.0/24;BRX TELECOMUNICACOES LTDA - EPP
178.171.38.0/24;M247 Ltd
178.171.40.0/24;M247 Ltd
178.171.41.0/24;M247 Ltd
178.171.44.0/24;M247 Ltd
178.171.45.0/24;M247 Ltd
178.171.46.0/24;M247 Ltd
178.171.47.0/24;M247 Ltd
178.171.58.0/24;M247 Ltd
178.171.59.0/24;M247 Ltd
178.171.64.0/24;M247 Ltd
178.171.65.0/24;M247 Ltd
178.171.66.0/24;M247 Ltd
178.171.67.0/24;M247 Ltd
178.171.90.0/24;M247 Ltd
178.171.91.0/24;M247 Ltd
178.171.102.0/24;A.b Internet Solutions
178.171.108.0/24;M247 Ltd
178.171.109.0/24;M247 Ltd
188.0.40.0/24;Delta Telesystems Ltd.
188.0.42.0/24;Delta Telesystems Ltd.
188.0.44.0/24;Delta Telesystems Ltd.
188.0.47.0/24;Delta Telesystems Ltd.
188.191.50.0/24;Tngnet B.v.
209.198.48.0/24;ARACHNITEC
212.70.244.0/24;Net Bull Srl
212.236.100.0/24;Video-Broadcast GmbH
216.189.16.0/24;ARACHNITEC
216.189.27.0/24;ARACHNITEC
216.189.28.0/24;ARACHNITEC
216.189.32.0/24;ARACHNITEC
