# Avastel long time infected IPs blocklist
# Last update: Mon Mar 04 2024 00:03:51 GMT+0000 (Coordinated Universal Time)
# Number IPs blocked: 12735

ip_address;num_days;autonomous_system
1.234.62.237;25;SK Broadband Co Ltd
1.34.90.238;55;Data Communication Business Group
1.9.164.195;51;TM Net, Internet Service Provider
1.6.74.117;42;Sify Limited
1.1.188.227;28;TOT Public Company Limited
1.7.184.224;48;Sify Limited
1.6.27.90;50;Sify Limited
1.10.184.178;18;TOT Public Company Limited
1.227.84.250;56;SK Broadband Co Ltd
1.34.244.142;20;Data Communication Business Group
1.145.214.230;20;Telstra Corporation Ltd
1.6.220.143;34;Sify Limited
1.20.225.145;16;TOT Public Company Limited
1.34.174.118;15;Data Communication Business Group
1.20.169.45;15;TOT Public Company Limited
1.20.157.134;20;TOT Public Company Limited
1.82.238.130;27;CHINANET SHAANXI province Cloud Base network
1.20.156.137;15;TOT Public Company Limited
1.117.40.238;27;Shenzhen Tencent Computer Systems Company Limited
1.47.22.58;25;Total Access Communication PLC.
1.55.249.116;20;The Corporation for Financing & Promoting Technology
1.34.246.252;49;Data Communication Business Group
1.34.241.138;27;Data Communication Business Group
1.20.93.229;30;TOT Public Company Limited
1.34.244.227;19;Data Communication Business Group
1.10.214.231;18;TOT Public Company Limited
1.20.225.230;28;TOT Public Company Limited
1.9.191.254;47;TM Net, Internet Service Provider
1.7.144.157;21;Sify Limited
1.1.136.123;19;TOT Public Company Limited
1.9.201.178;58;TM Net, Internet Service Provider
1.179.130.209;47;TOT Public Company Limited
1.179.169.78;28;TOT Public Company Limited
2.34.180.82;33;Vodafone Italia S.p.A.
2.47.150.85;39;Vodafone Italia S.p.A.
2.47.180.141;17;Vodafone Italia S.p.A.
2.50.9.104;16;Emirates Telecommunications Corporation
2.50.32.35;24;Emirates Telecommunications Corporation
2.50.35.54;20;Emirates Telecommunications Corporation
2.50.35.95;30;Emirates Telecommunications Corporation
2.50.35.189;23;Emirates Telecommunications Corporation
2.50.45.58;19;Emirates Telecommunications Corporation
2.50.47.212;27;Emirates Telecommunications Corporation
2.50.131.227;36;Emirates Telecommunications Corporation
2.50.142.3;24;Emirates Telecommunications Corporation
2.50.152.46;44;Emirates Telecommunications Corporation
2.50.167.185;35;Emirates Telecommunications Corporation
