# Avastel 8 day proxy bots IPs blocklist 
# Last update: Sat Mar 29 2025 01:00:42 GMT+0000 (Coordinated Universal Time)
# Number of proxy IP CIDRs: 656, equivalent to 247040 IPs

ip_address;autonomous_system;confidence
185.77.250.0/23;AS-VULTR;1
195.133.208.0/23;AS-VULTR;1
213.159.10.0/23;AS-VULTR;1
194.135.132.0/23;AS-VULTR;1
213.159.12.0/23;AS-VULTR;1
193.46.204.0/24;AS-VULTR;1
108.165.138.0/23;ZEN-ECN;0.95
102.217.104.0/24;Wired ISP Inc.;0.95
79.110.167.0/24;BUNNY-TECHNOLOGY-LLC;0.95
154.202.27.0/24;Datacamp Limited;0.95
185.244.2.0/24;Pascal Van der Poel;0.95
85.117.230.0/24;Secure Digital Apps CO WLL;0.95
108.165.97.0/24;ZEN-ECN;0.95
45.207.42.0/24;Wisdom Cloud Internet Technology Pte. Ltd.;0.95
108.165.229.0/24;ZEN-ECN;0.95
50.114.73.0/24;ZEN-ECN;0.95
202.134.229.0/24;BUNNY-COMMUNICATIONS-GLOBAL;0.95
108.165.196.0/24;ZEN-ECN;0.95
108.165.132.0/24;ZEN-ECN;0.95
144.168.8.0/22;ANL-36;0.95
95.169.163.0/24;Efekan Rasit Zeybek;0.95
154.202.29.0/24;Datacamp Limited;0.95
82.152.55.0/24;GCI Network Solutions Limited;0.95
92.240.204.0/24;M247 Europe SRL;0.95
185.37.216.0/22;Datacamp Limited;0.95
178.171.38.0/24;M247 Europe SRL;0.95
45.42.47.0/24;ANL-36;0.95
38.38.252.0/22;ZEN-ECN;0.95
209.99.129.0/24;Geekyworks IT Solutions Pvt Ltd;0.95
108.165.59.0/24;ZEN-ECN;0.95
154.88.53.0/24;Wisdom Cloud Internet Technology Pte. Ltd.;0.95
178.171.44.0/22;M247 Europe SRL;0.95
154.207.160.0/22;Datacamp Limited;0.95
108.165.129.0/24;ZEN-ECN;0.95
82.163.168.0/22;BUNNY-COMMUNICATIONS-GLOBAL;0.95
181.214.75.0/24;GLOBAL COMMUNICATION NETWORK LIMITED;0.95
140.99.35.0/24;BUNNY-COMMUNICATIONS-GLOBAL;0.95
208.99.8.0/22;BUNNY-COMMUNICATIONS-GLOBAL;0.95
82.163.224.0/22;BUNNY-COMMUNICATIONS-GLOBAL;0.95
82.163.10.0/23;Datacamp Limited;0.95
92.240.206.0/23;M247 Europe SRL;0.95
160.250.182.0/23;TRUMVPS COMPANY LIMITED;0.95
154.200.62.0/24;OWS;0.95
45.201.12.0/22;Vorboss Limited;0.95
108.165.52.0/24;ZEN-ECN;0.95
50.114.200.0/23;ZEN-ECN;0.95
108.165.110.0/23;ZEN-ECN;0.95
79.99.150.0/23;Datacamp Limited;0.9
194.34.253.0/24;Wired ISP Inc.;0.9
154.85.120.0/22;BUNNY-COMMUNICATIONS-GLOBAL;0.9
145.223.41.0/24;M247 Europe SRL;0.9
156.236.78.0/23;AS-VULTR;0.9
108.165.215.0/24;ZEN-ECN;0.9
103.99.33.0/24;Oy Crea Nova Hosting Solution Ltd;0.9
31.57.82.0/24;M247 Europe SRL;0.9
149.88.174.0/23;Wisdom Cloud Internet Technology Pte. Ltd.;0.9
50.114.196.0/23;ZEN-ECN;0.9
31.57.41.0/24;M247 Europe SRL;0.9
154.214.1.0/24;3xK Tech GmbH;0.9
108.165.156.0/23;ZEN-ECN;0.9
50.114.248.0/22;ZEN-ECN;0.9
204.9.38.0/24;HostRoyale Technologies Pvt Ltd;0.9
